FID	IID	family
SH00001	SH00001	GS1-018
SH00005	SH00005	GS1-018
SH00007	SH00007	GS1-018
SH00008	SH00008	GS1-018
SH00010	SH00010	GS1-018
SH00012	SH00012	GS1-018
SH00013	SH00013	GS1-018
SH00014	SH00014	GS1-018
SH00016	SH00016	GS1-018
SH00017	SH00017	GS1-018
SH00019	SH00019	GS1-018
SH00020	SH00020	GS1-018
SH00022	SH00022	GS1-018
SH00024	SH00024	GS1-018
SH00028	SH00028	GS1-018
SH00029	SH00029	GS1-018
SH00031	SH00031	GS1-018
SH00032	SH00032	GS1-018
SH00033	SH00033	GS1-018
SH00035	SH00035	GS1-018
SH00039	SH00039	GS1-018
SH00040	SH00040	GS1-018
SH00041	SH00041	GS1-018
SH00042	SH00042	GS1-018
SH00044	SH00044	GS1-018
SH00045	SH00045	GS1-018
SH00050	SH00050	GS1-018
SH00051	SH00051	GS1-018
SH00053	SH00053	GS1-018
SH00062	SH00062	GS1-018
SH00071	SH00071	GS1-018
SH00075	SH00075	GS1-018
SH00076	SH00076	GS1-018
SH00078	SH00078	GS1-018
SH00079	SH00079	GS1-018
SH00080	SH00080	GS1-018
SH00082	SH00082	GS1-018
SH00084	SH00084	GS1-018
SH00086	SH00086	GS1-018
SH00087	SH00087	GS1-018
SH00088	SH00088	GS1-018
SH00091	SH00091	GS1-018
SH00092	SH00092	GS1-018
SH00096	SH00096	GS1-018
SH00097	SH00097	GS1-018
SH00099	SH00099	GS1-018
SH00100	SH00100	GS1-018
SH00104	SH00104	GS1-018
SH00105	SH00105	GS1-018
SH00107	SH00107	GS1-018
SH00108	SH00108	GS1-018
SH00109	SH00109	GS1-018
SH00110	SH00110	GS1-018
SH00111	SH00111	GS1-018
SH00113	SH00113	GS1-018
SH00115	SH00115	GS1-018
SH00117	SH00117	GS1-018
SH00118	SH00118	GS1-018
SH00121	SH00121	GS1-018
SH00122	SH00122	GS1-018
SH00123	SH00123	GS1-018
SH00124	SH00124	GS1-018
SH00126	SH00126	GS1-018
SH00127	SH00127	GS1-018
SH00129	SH00129	GS1-018
SH00130	SH00130	GS1-018
SH00131	SH00131	GS1-018
SH00137	SH00137	GS1-030
SH00139	SH00139	GS1-030
SH00140	SH00140	GS1-030
SH00142	SH00142	GS1-030
SH00143	SH00143	GS1-030
SH00144	SH00144	GS1-030
SH00145	SH00145	GS1-030
SH00146	SH00146	GS1-030
SH00147	SH00147	GS1-030
SH00150	SH00150	GS1-030
SH00152	SH00152	GS1-030
SH00154	SH00154	GS1-030
SH00157	SH00157	GS1-030
SH00158	SH00158	GS1-030
SH00160	SH00160	GS1-030
SH00161	SH00161	GS1-030
SH00164	SH00164	GS1-030
SH00166	SH00166	GS1-030
SH00168	SH00168	GS1-030
SH00170	SH00170	GS1-030
SH00172	SH00172	GS1-030
SH00173	SH00173	GS1-070
SH00174	SH00174	GS1-030
SH00175	SH00175	GS1-070
SH00182	SH00182	GS1-030
SH00184	SH00184	GS1-030
SH00185	SH00185	GS1-070
SH00186	SH00186	GS1-030
SH00187	SH00187	GS1-030
SH00189	SH00189	GS1-030
SH00191	SH00191	GS1-070
SH00192	SH00192	GS1-030
SH00193	SH00193	GS1-030
SH00194	SH00194	GS1-030
SH00195	SH00195	GS1-030
SH00196	SH00196	GS1-030
SH00197	SH00197	GS1-030
SH00198	SH00198	GS1-030
SH00200	SH00200	GS1-030
SH00202	SH00202	GS1-030
SH00203	SH00203	GS1-030
SH00204	SH00204	GS1-030
SH00206	SH00206	GS1-030
SH00207	SH00207	GS1-030
SH00208	SH00208	GS1-030
SH00209	SH00209	GS1-030
SH00210	SH00210	GS1-030
SH00212	SH00212	GS1-030
SH00214	SH00214	GS1-030
SH00217	SH00217	GS1-030
SH00221	SH00221	GS1-030
SH00225	SH00225	GS1-030
SH00226	SH00226	GS1-030
SH00229	SH00229	GS1-030
SH00230	SH00230	GS1-030
SH00233	SH00233	GS1-030
SH00234	SH00234	GS1-030
SH00235	SH00235	GS1-030
SH00237	SH00237	GS1-030
SH00238	SH00238	GS1-030
SH00239	SH00239	GS1-030
SH00240	SH00240	GS1-030
SH00245	SH00245	GS1-030
SH00248	SH00248	GS1-030
SH00254	SH00254	GS1-030
SH00255	SH00255	GS1-030
SH00256	SH00256	GS1-030
SH00257	SH00257	GS1-030
SH00258	SH00258	GS1-030
SH00260	SH00260	GS1-030
SH00262	SH00262	GS2-021
SH00263	SH00263	GS1-030
SH00265	SH00265	GS2-021
SH00267	SH00267	GS2-021
SH00268	SH00268	GS2-021
SH00269	SH00269	GS2-021
SH00271	SH00271	GS2-021
SH00272	SH00272	GS2-021
SH00276	SH00276	GS2-014
SH00277	SH00277	GS2-021
SH00279	SH00279	GS2-021
SH00280	SH00280	GS2-021
SH00282	SH00282	GS2-021
SH00284	SH00284	GS2-021
SH00285	SH00285	GS2-021
SH00289	SH00289	GS2-021
SH00290	SH00290	GS2-021
SH00292	SH00292	GS2-021
SH00296	SH00296	GS2-021
SH00297	SH00297	GS2-021
SH00301	SH00301	GS2-021
SH00302	SH00302	GS2-021
SH00304	SH00304	GS2-021
SH00306	SH00306	GS2-021
SH00308	SH00308	GS2-021
SH00311	SH00311	GS2-021
SH00313	SH00313	GS2-021
SH00317	SH00317	GS2-021
SH00318	SH00318	GS2-021
SH00319	SH00319	GS2-021
SH00321	SH00321	GS2-021
SH00322	SH00322	GS2-021
SH00323	SH00323	GS2-021
SH00325	SH00325	GS2-021
SH00326	SH00326	GS2-021
SH00327	SH00327	GS2-021
SH00329	SH00329	GS2-021
SH00331	SH00331	GS2-021
SH00333	SH00333	GS2-021
SH00334	SH00334	GS2-021
SH00335	SH00335	GS2-021
SH00337	SH00337	GS2-021
SH00340	SH00340	GS2-021
SH00342	SH00342	GS2-021
SH00343	SH00343	GS2-021
SH00345	SH00345	GS2-021
SH00347	SH00347	GS2-021
SH00348	SH00348	GS2-021
SH00349	SH00349	GS2-021
SH00350	SH00350	GS2-021
SH00353	SH00353	GS2-021
SH00354	SH00354	GS2-021
SH00355	SH00355	GS2-021
SH00356	SH00356	GS2-021
SH00358	SH00358	GS1-031
SH00360	SH00360	GS2-021
SH00361	SH00361	GS2-021
SH00362	SH00362	GS2-021
SH00367	SH00367	GS2-021
SH00369	SH00369	GS2-021
SH00370	SH00370	GS2-021
SH00373	SH00373	GS2-021
SH00376	SH00376	GS2-021
SH00378	SH00378	GS2-021
SH00379	SH00379	GS2-021
SH00381	SH00381	GS2-021
SH00382	SH00382	GS2-021
SH00383	SH00383	GS2-021
SH00384	SH00384	GS2-021
SH00386	SH00386	GS2-021
SH00387	SH00387	GS2-021
SH00388	SH00388	GS2-021
SH00393	SH00393	GS2-021
SH00395	SH00395	GS2-021
SH00397	SH00397	GS2-021
SH00398	SH00398	GS2-021
SH00399	SH00399	GS2-021
SH00400	SH00400	GS2-021
SH00401	SH00401	GS2-021
SH00403	SH00403	GS2-021
SH00405	SH00405	GS2-021
SH00406	SH00406	GS2-021
SH00407	SH00407	GS2-021
SH00408	SH00408	GS2-021
SH00409	SH00409	GS2-021
SH00410	SH00410	GS2-021
SH00415	SH00415	GS2-021
SH00417	SH00417	GS2-021
SH00419	SH00419	GS2-021
SH00422	SH00422	GS2-021
SH00423	SH00423	GS2-021
SH00424	SH00424	GS2-021
SH00425	SH00425	GS2-021
SH00426	SH00426	GS2-021
SH00428	SH00428	GS2-021
SH00429	SH00429	GS2-021
SH00430	SH00430	GS2-021
SH00431	SH00431	GS2-021
SH00432	SH00432	GS2-021
SH00433	SH00433	GS2-021
SH00434	SH00434	GS2-021
SH00435	SH00435	GS2-021
SH00437	SH00437	GS2-021
SH00440	SH00440	GS2-021
SH00441	SH00441	GS2-021
SH00442	SH00442	GS2-021
SH00443	SH00443	GS2-021
SH00446	SH00446	GS2-021
SH00448	SH00448	GS2-021
SH00449	SH00449	GS2-021
SH00450	SH00450	GS2-021
SH00453	SH00453	GS2-021
SH00454	SH00454	GS2-021
SH00456	SH00456	GS2-021
SH00457	SH00457	GS2-021
SH00460	SH00460	GS2-021
SH00462	SH00462	GS2-021
SH00463	SH00463	GS2-021
SH00464	SH00464	GS2-026
SH00465	SH00465	GS2-026
SH00467	SH00467	GS2-026
SH00469	SH00469	GS2-026
SH00472	SH00472	GS2-026
SH00473	SH00473	GS2-026
SH00475	SH00475	GS2-026
SH00479	SH00479	GS2-026
SH00480	SH00480	GS2-026
SH00481	SH00481	GS2-026
SH00484	SH00484	GS2-026
SH00485	SH00485	GS2-026
SH00486	SH00486	GS2-026
SH00487	SH00487	GS2-026
SH00489	SH00489	GS2-026
SH00490	SH00490	GS2-026
SH00492	SH00492	GS2-026
SH00496	SH00496	GS2-026
SH00497	SH00497	GS2-026
SH00498	SH00498	GS2-026
SH00499	SH00499	GS2-026
SH00500	SH00500	GS2-026
SH00501	SH00501	GS2-026
SH00502	SH00502	GS2-026
SH00503	SH00503	GS2-026
SH00504	SH00504	GS2-026
SH00506	SH00506	GS2-026
SH00508	SH00508	GS2-026
SH00509	SH00509	GS2-026
SH00510	SH00510	GS2-026
SH00513	SH00513	GS2-026
SH00515	SH00515	GS2-026
SH00516	SH00516	GS2-026
SH00517	SH00517	GS2-026
SH00518	SH00518	GS2-026
SH00519	SH00519	GS2-026
SH00520	SH00520	GS2-026
SH00521	SH00521	GS2-026
SH00523	SH00523	GS2-026
SH00524	SH00524	GS2-026
SH00525	SH00525	GS2-026
SH00526	SH00526	GS2-026
SH00527	SH00527	GS2-026
SH00528	SH00528	GS2-026
SH00530	SH00530	GS2-026
SH00531	SH00531	GS2-026
SH00532	SH00532	GS2-026
SH00533	SH00533	GS2-026
SH00534	SH00534	GS2-026
SH00535	SH00535	GS2-026
SH00537	SH00537	GS2-026
SH00539	SH00539	GS2-026
SH00540	SH00540	GS2-026
SH00541	SH00541	GS2-026
SH00542	SH00542	GS2-026
SH00543	SH00543	GS2-026
SH00545	SH00545	GS2-026
SH00546	SH00546	GS2-026
SH00547	SH00547	GS2-026
SH00549	SH00549	GS2-026
SH00550	SH00550	GS2-026
SH00551	SH00551	GS2-026
SH00552	SH00552	GS2-026
SH00553	SH00553	GS2-026
SH00554	SH00554	GS2-026
SH00555	SH00555	GS2-026
SH00556	SH00556	GS2-026
SH00557	SH00557	GS2-026
SH00558	SH00558	GS2-026
SH00559	SH00559	GS2-026
SH00560	SH00560	GS2-026
SH00561	SH00561	GS2-026
SH00562	SH00562	GS2-026
SH00563	SH00563	GS2-026
